drugbank_id,entrez_id,evidence
DB01567,2564,DrugBank (target)
DB00214,1557,DrugBank (enzyme)
DB00497,1565,DrugBank (enzyme)
DB00182,6531,DrugBank (target);DrugCentral (ChEMBL);PDSP Ki
DB00304,2099,DrugBank (target)
DB00189,2566,DrugCentral (ChEMBL)
DB00502,1543,DrugBank (enzyme)
DB00149,587,DrugBank (target)
DB00883,1571,DrugBank (enzyme)
DB00977,1555,ChEMBL
DB00585,590,DrugBank (enzyme)
DB01251,3767,DrugCentral (literature)
DB01028,2741,DrugBank (target);DrugCentral (ChEMBL)
DB00276,7153,DrugBank (target)
DB00145,2905,DrugBank (target)
DB00259,766,ChEMBL
DB00973,6646,DrugBank (target)
DB00842,2562,DrugBank (target);DrugCentral (ChEMBL)
DB00604,1576,DrugBank (enzyme)
DB08889,5693,DrugBank (target);DrugCentral (literature)
DB05294,8767,ChEMBL;PubChem
DB00624,64816,DrugBank (enzyme)
DB06414,1559,DrugBank (enzyme)
DB00367,367,DrugBank (target)
DB00784,1645,ChEMBL
DB00334,3005,US Patent
DB06708,1565,DrugBank (enzyme)
DB00650,10257,DrugBank (transporter)
DB01058,1577,DrugBank (enzyme)
DB00398,147746,ChEMBL
DB01100,3350,PDSP Ki
DB00839,3767,DrugCentral (ChEMBL)
DB00248,1576,DrugBank (enzyme)
DB00927,1557,DrugBank (enzyme)
DB00829,1577,DrugBank (enzyme)
DB00281,1555,DrugBank (enzyme)
DB00935,147,DrugBank (target)
DB01244,1565,DrugBank (enzyme)
DB06712,55799,DrugBank (target)
DB06637,3790,DrugCentral (ChEMBL)
DB06707,151,DrugCentral (ChEMBL)
DB01440,6566,DrugBank (transporter)
DB00673,1576,ChEMBL;DrugBank (enzyme)
DB00381,775,DrugBank (target);DrugCentral (ChEMBL)
DB00170,1548,DrugBank (enzyme)
DB00949,116443,DrugBank (target)
DB00468,1551,DrugBank (enzyme)
DB01199,43,DrugBank (target)
DB01021,766,BindingDB
DB01589,2562,DrugBank (target)
DB00861,5743,DrugBank (target);DrugCentral (ChEMBL)
DB01022,632,DrugBank (target)
DB00796,1559,DrugBank (enzyme)
DB00213,9429,DrugBank (transporter)
DB00607,9356,DrugBank (transporter)
DB01075,1544,DrugBank (enzyme)
DB00909,316,DrugBank (enzyme)
DB00514,10280,ChEMBL;DrugBank (target)
DB00139,5019,DrugBank (target)
DB00675,1558,DrugBank (enzyme)
DB00665,1558,DrugBank (enzyme)
DB00468,1577,DrugBank (enzyme)
DB01118,1548,DrugBank (enzyme)
DB00169,1583,DrugBank (enzyme)
DB06207,146,DrugBank (target)
DB00523,5243,DrugBank (transporter)
DB01030,5243,DrugBank (transporter)
DB00151,4255,DrugBank (target)
DB00884,5743,DrugBank (enzyme)
DB05812,6822,DrugBank (enzyme)
DB06795,771,ChEMBL
DB00608,2939,DrugBank (target)
DB01053,6584,DrugBank (transporter)
DB00624,1557,DrugBank (enzyme)
DB00328,145482,DrugBank (target)
DB01173,1576,DrugBank (enzyme)
DB08802,3269,DrugBank (target)
DB01059,9356,DrugBank (transporter)
DB00688,7364,DrugBank (enzyme)
DB00661,775,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
DB00899,4986,DrugBank (target)
DB00661,8912,DrugCentral (literature)
DB01014,5468,DrugBank (target);DrugCentral (ChEMBL)
DB01008,4258,DrugBank (enzyme)
DB00668,5053,DrugBank (target)
DB01075,1565,DrugBank (enzyme)
DB01420,1312,DrugBank (enzyme)
DB00675,1244,DrugBank (transporter)
DB00645,6336,DrugBank (target);DrugCentral (ChEMBL)
DB00468,1558,DrugBank (enzyme)
DB00353,3356,PDSP Ki
DB00332,1576,DrugBank (enzyme)
DB01254,9088,ChEMBL
DB00818,1576,DrugBank (enzyme)
DB00709,4363,DrugBank (transporter)
DB00887,6579,DrugBank (transporter)
DB00422,6530,ChEMBL;DrugBank (target);DrugCentral (ChEMBL);PDSP Ki
DB00333,3359,DrugBank (target)
DB00882,3757,ChEMBL
DB00130,5471,DrugBank (target)
DB01238,1812,DrugBank (target)
DB00490,3350,ChEMBL;DrugBank (target);DrugCentral (ChEMBL);PDSP Ki
DB00949,1576,DrugBank (enzyme)
DB00328,5743,DrugBank (target);DrugCentral (ChEMBL);PDSP Ki
DB01254,7294,ChEMBL;PubChem
DB04894,6752,DrugBank (target)
DB00511,476,DrugBank (target);DrugCentral (ChEMBL)
DB06770,217,DrugBank (enzyme)
DB00841,154,DrugBank (target);DrugCentral (ChEMBL)
DB00517,1129,DrugBank (target)
DB01118,7068,ChEMBL
DB06770,1576,DrugBank (enzyme)
DB00144,8527,DrugBank (target)
DB00567,9356,DrugBank (transporter)
DB08911,5604,DrugBank (target);DrugCentral (ChEMBL)
DB00477,1816,DrugBank (target)
DB00726,6530,DrugBank (target);DrugCentral (ChEMBL)
DB08868,66002,DrugBank (enzyme)
DB00880,762,DrugBank (target)
DB06716,2556,DrugCentral (label)
DB08877,5581,ChEMBL
DB00371,2558,DrugBank (target);DrugCentral (ChEMBL)
DB06144,3362,ChEMBL;DrugBank (target);PDSP Ki
DB00321,3736,DrugBank (target)
DB00443,1576,DrugBank (enzyme)
DB00133,875,DrugBank (target)
DB00741,1584,DrugBank (enzyme)
DB00567,9376,DrugBank (transporter)
DB00328,5243,DrugBank (transporter)
DB01086,11280,DrugCentral (literature)
DB01098,1577,DrugBank (enzyme)
DB00119,9123,DrugBank (target);DrugBank (transporter)
DB00690,2563,DrugBank (target)
DB00224,4363,DrugBank (transporter)
DB00674,1576,DrugBank (enzyme)
DB00697,1544,DrugBank (enzyme)
DB00842,200959,DrugBank (target)
DB00860,1548,DrugBank (enzyme)
DB00589,1814,ChEMBL;DrugBank (target)
DB00786,102,PubChem
DB01559,2569,DrugBank (target)
DB00808,771,BindingDB
DB00543,3357,DrugBank (target)
DB08916,1956,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
DB06689,1571,DrugBank (enzyme)
DB00286,123264,DrugBank (transporter)
DB01160,27306,PDSP Ki
DB00554,1558,DrugBank (enzyme)
DB01320,1557,DrugBank (enzyme)
DB00444,368,DrugBank (transporter)
DB00998,3350,ChEMBL
DB00167,3376,DrugBank (target)
DB00455,3757,ChEMBL
DB01142,3362,ChEMBL;DrugBank (target)
DB00694,9429,DrugBank (transporter)
DB01036,1132,DrugBank (target)
DB00783,1576,DrugBank (enzyme)
DB01158,476,DrugBank (target)
DB00908,6326,DrugCentral (ChEMBL)
DB00731,5468,DrugBank (target)
DB00171,27,DrugBank (target)
DB01058,1576,DrugBank (enzyme)
DB00456,9376,ChEMBL;DrugBank (transporter)
DB00860,866,DrugBank (carrier)
DB00794,89832,DrugBank (target)
DB01333,6564,DrugBank (transporter)
DB00170,5627,DrugBank (target)
DB00962,1576,DrugBank (enzyme)
DB06616,6789,ChEMBL
DB01016,10060,DrugBank (target)
DB00246,3757,ChEMBL
DB01411,10800,DrugBank (target);DrugCentral (literature)
DB00742,5243,DrugBank (transporter)
DB00715,5243,DrugBank (transporter)
DB00257,100861540,DrugBank (enzyme)
DB00583,123096,DrugBank (target)
DB01166,1551,DrugBank (enzyme)
DB00155,11240,DrugBank (target)
DB06702,1132,DrugBank (target)
DB01412,134,DrugBank (target)
DB00502,3005,US Patent
DB08810,3356,DrugBank (target)
DB00241,1139,DrugBank (target)
DB00907,1558,DrugBank (enzyme)
DB00118,4144,DrugBank (target)
DB00237,1137,DrugBank (target)
DB01050,5743,ChEMBL;DrugBank (enzyme);DrugBank (target);DrugCentral (ChEMBL);PDSP Ki
DB00131,107,DrugBank (target)
DB00967,1559,DrugBank (enzyme)
DB00614,4128,DrugBank (enzyme)
DB00917,27306,PDSP Ki
DB00668,6582,DrugBank (transporter)
DB00734,3357,PDSP Ki
DB01594,2563,DrugBank (target)
DB00917,5734,DrugBank (target);DrugCentral (ChEMBL)
DB00172,65263,DrugBank (target)
DB00671,6564,DrugBank (transporter)
DB00530,8711,ChEMBL
DB00706,3350,ChEMBL
DB00758,64805,DrugBank (target);DrugCentral (ChEMBL)
DB01207,6916,ChEMBL;DrugBank (target)
DB00316,1543,DrugBank (enzyme)
DB01017,240,DrugBank (target)
DB00759,1576,DrugBank (enzyme)
DB00625,1559,DrugBank (enzyme)
DB01577,134864,DrugBank (target)
DB01590,2475,DrugBank (target)
DB00163,1728,DrugBank (enzyme)
DB00641,1565,DrugBank (enzyme)
DB01224,1576,DrugBank (enzyme)
DB01624,1816,DrugBank (target)
DB00294,5241,DrugBank (target);DrugCentral (ChEMBL)
DB00625,1576,DrugBank (enzyme)
DB00474,2562,DrugCentral (ChEMBL)
DB00858,6462,DrugBank (carrier)
DB06210,10599,DrugBank (transporter)
DB00624,1555,DrugBank (enzyme)
DB00653,781,DrugBank (target)
DB00247,3357,DrugBank (target);DrugCentral (IUPHAR);PDSP Ki
DB00865,6531,DrugBank (target)
DB00209,1129,DrugCentral (ChEMBL)
DB01074,1374,DrugBank (target)
DB00334,1816,DrugBank (target)
DB00696,150,DrugBank (target)
DB00398,51265,ChEMBL
DB00133,9517,DrugBank (target)
DB01223,1571,DrugBank (enzyme)
DB00122,5130,DrugBank (target)
DB00863,5243,DrugBank (transporter)
DB01361,5243,DrugBank (transporter)
DB06218,6328,DrugBank (target)
DB00391,760,BindingDB;ChEMBL
DB00273,766,BindingDB;ChEMBL
DB01254,1544,DrugBank (enzyme)
DB00503,1565,DrugBank (enzyme)
DB00936,55867,DrugBank (transporter)
DB05294,2534,ChEMBL
DB00527,590,DrugBank (enzyme)
DB01132,1565,DrugBank (enzyme)
DB06589,2260,ChEMBL;DrugCentral (ChEMBL)
DB00347,1571,DrugBank (enzyme)
DB06605,1558,DrugBank (enzyme)
DB01026,1594,BindingDB
DB06712,783,DrugBank (target)
DB00690,2568,DrugBank (target)
DB00233,1147,DrugBank (target)
DB00437,10864,DrugBank (transporter)
DB00543,2554,DrugBank (target)
DB04920,590,DrugBank (enzyme)
DB00331,4538,DrugCentral (ChEMBL)
DB01268,1613,ChEMBL;PubChem
DB00753,1555,DrugBank (enzyme)
DB00883,2982,DrugCentral (ChEMBL)
DB01076,3156,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
DB00158,1571,DrugBank (enzyme)
DB00484,152,DrugBank (target);DrugCentral (ChEMBL)
DB00207,1576,DrugBank (enzyme)
DB05294,6793,ChEMBL
DB00528,786,DrugBank (target)
DB00604,3357,PDSP Ki
DB00717,6462,ChEMBL;DrugBank (carrier)
DB00331,5564,DrugBank (target)
DB00800,1816,DrugBank (target)
DB00783,28231,DrugBank (transporter)
DB01628,1432,ChEMBL
DB00370,3269,ChEMBL;DrugBank (target)
DB00850,805,DrugBank (target)
DB00553,1544,DrugBank (enzyme)
DB00165,8566,DrugBank (target)
DB00753,2743,DrugCentral (ChEMBL)
DB00814,1576,DrugBank (enzyme)
DB00575,146,DrugBank (target);PDSP Ki
DB00738,1543,DrugBank (enzyme)
DB08893,6579,DrugBank (transporter)
DB00726,150,DrugBank (target)
DB00912,3767,DrugCentral (ChEMBL)
DB00599,2898,DrugBank (target)
DB00622,781,DrugBank (target)
DB01355,1571,DrugBank (enzyme)
DB01614,1813,DrugBank (target)
DB01036,1128,DrugBank (target)
DB04552,5742,DrugBank (target)
DB00774,766,BindingDB
DB01352,2891,DrugBank (target)
DB06800,4988,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
DB00856,7498,DrugBank (enzyme)
DB00678,10599,ChEMBL
DB08865,9201,ChEMBL
DB00220,6580,DrugBank (transporter)
DB00668,147,DrugBank (target);DrugCentral (ChEMBL)
DB01021,771,BindingDB
DB00149,51451,DrugBank (target)
DB01410,866,DrugBank (carrier)
DB00778,1555,DrugBank (enzyme)
DB00972,1543,DrugBank (enzyme)
DB00128,1615,DrugBank (target)
DB08901,5979,DrugBank (target)
DB00163,2947,DrugBank (enzyme)
DB00939,5743,DrugBank (target);DrugCentral (ChEMBL);PDSP Ki
DB01199,1140,DrugCentral (ChEMBL)
DB00788,5743,DrugBank (target);DrugCentral (ChEMBL)
DB00758,1558,DrugBank (enzyme)
DB00576,213,DrugBank (carrier)
DB00731,1565,DrugBank (enzyme)
DB01438,6329,DrugCentral (ChEMBL)
DB01215,2561,DrugBank (target);DrugCentral (ChEMBL)
DB01100,805,DrugBank (target)
DB01151,5243,DrugBank (transporter)
DB00892,590,DrugBank (enzyme)
DB00689,6584,DrugBank (transporter)
DB00571,155,BindingDB;ChEMBL;DrugBank (target)
DB03147,4128,DrugBank (target)
DB00555,6329,DrugCentral (ChEMBL)
DB00619,5243,DrugBank (transporter)
DB00679,1557,DrugBank (enzyme)
DB00252,1558,DrugBank (enzyme)
DB00949,2904,DrugBank (target);DrugCentral (ChEMBL)
DB00887,6557,DrugBank (target);DrugCentral (ChEMBL)
DB01231,1128,DrugBank (target);DrugCentral (ChEMBL)
DB08877,3716,DrugBank (target);DrugCentral (ChEMBL)
DB00237,2561,DrugCentral (ChEMBL)
DB00546,2560,DrugBank (target);DrugCentral (KEGG DRUG)
DB00738,26,ChEMBL
DB00869,763,BindingDB;ChEMBL
DB01116,1143,DrugCentral (ChEMBL)
DB01186,1814,ChEMBL;DrugBank (target)
DB06292,5243,DrugBank (transporter)
DB01045,6579,DrugBank (transporter)
DB00752,1576,DrugBank (enzyme)
DB01033,3251,DrugBank (target)
DB00502,1812,DrugBank (target)
DB01115,801,DrugBank (target)
DB01268,147746,ChEMBL
DB00300,654364,DrugBank (enzyme)
DB01085,1571,DrugBank (enzyme)
DB01340,6565,DrugBank (transporter)
DB00091,1577,DrugBank (enzyme)
DB04948,150,ChEMBL;DrugBank (target);DrugCentral (literature);PDSP Ki
DB00829,2565,DrugBank (target)
DB00358,1576,DrugBank (enzyme)
DB01241,1558,DrugBank (enzyme)
DB00121,8884,DrugBank (target)
DB00589,3350,ChEMBL;DrugBank (target);PDSP Ki
DB00274,213,DrugBank (carrier)
DB01100,1813,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
DB01073,6240,DrugBank (target)
DB00434,3358,ChEMBL;DrugBank (target);PDSP Ki
DB05294,3932,ChEMBL;PubChem
DB01559,2554,DrugBank (target)
DB01268,57396,ChEMBL;PubChem
DB01618,1813,DrugBank (target);DrugCentral (ChEMBL)
DB06151,10599,DrugBank (transporter)
DB08881,213,DrugBank (carrier)
DB00254,4312,DrugCentral (ChEMBL)
DB01558,2565,DrugBank (target)
DB01075,1562,DrugBank (enzyme)
DB06209,1555,DrugBank (enzyme)
DB04842,4987,BindingDB
DB00117,10991,DrugBank (target)
DB01159,1555,DrugBank (enzyme)
DB06268,1559,DrugBank (enzyme)
DB00801,2567,DrugBank (target);DrugCentral (ChEMBL)
DB01136,1543,DrugBank (enzyme)
DB00530,54658,DrugBank (enzyme)
DB00706,146,ChEMBL;DrugBank (target);PDSP Ki
DB00134,4524,DrugBank (enzyme)
DB00398,4593,ChEMBL;PubChem
DB06637,3752,DrugBank (target);DrugCentral (ChEMBL)
DB00987,1576,DrugBank (enzyme)
DB01002,6336,DrugBank (target)
DB00398,51776,ChEMBL
DB00191,1559,DrugBank (enzyme)
DB05294,5979,ChEMBL;DrugCentral (ChEMBL);PubChem
DB01054,5243,DrugBank (transporter)
DB00762,8824,DrugBank (enzyme)
DB04841,1555,DrugBank (enzyme)
DB00536,90134,DrugCentral (ChEMBL)
DB00777,3358,DrugBank (target)
DB00918,4128,DrugBank (enzyme)
DB00337,2475,DrugBank (target)
DB01004,10864,DrugBank (transporter)
DB00184,1558,DrugBank (enzyme)
DB06589,5243,DrugBank (transporter)
DB05521,1513,ChEMBL
DB00297,1557,DrugBank (enzyme)
DB00688,5243,DrugBank (transporter)
DB00749,6256,DrugBank (target)
DB06616,2065,ChEMBL
DB00696,6530,DrugBank (target)
DB01611,54106,DrugBank (target);DrugCentral (ChEMBL)
DB00343,1557,DrugBank (enzyme)
DB00129,10166,DrugBank (target)
DB01236,213,DrugBank (carrier)
DB00793,2582,ChEMBL
DB04786,6261,DrugBank (target)
DB00675,1557,DrugBank (enzyme)
DB01138,4363,DrugBank (target);DrugBank (transporter)
DB00794,1544,DrugBank (enzyme)
DB00129,6542,DrugBank (target)
DB01174,1580,DrugBank (enzyme)
DB00909,6326,DrugBank (target)
DB00783,1559,DrugBank (enzyme)
DB06201,1571,DrugBank (enzyme)
DB00544,1806,DrugBank (enzyme)
DB00958,6647,DrugBank (enzyme)
DB00909,23632,DrugBank (target)
DB01110,1576,ChEMBL;DrugBank (enzyme)
DB00307,6258,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
DB08896,7010,DrugBank (target)
DB00171,94,DrugBank (target)
DB01035,11280,DrugCentral (ChEMBL)
DB00344,1565,DrugBank (enzyme)
DB01248,347733,DrugCentral (ChEMBL)
DB01256,1576,DrugBank (enzyme)
DB08865,1436,ChEMBL
DB00398,2321,ChEMBL;DrugBank (target);DrugCentral (ChEMBL);PubChem
DB01244,3784,DrugBank (target)
DB00652,4988,DrugBank (target)
DB01026,1548,DrugBank (enzyme)
DB01394,5244,DrugBank (transporter)
DB00734,1814,ChEMBL;DrugBank (target)
DB01197,2147,ChEMBL
DB06616,5607,ChEMBL
DB06616,2043,ChEMBL
DB00158,10257,DrugBank (transporter)
DB01238,3350,ChEMBL;DrugBank (target);DrugCentral (label);PDSP Ki
DB08916,2064,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
DB00648,6462,DrugBank (carrier)
DB00953,3350,ChEMBL
DB00462,1128,DrugBank (target);DrugCentral (ChEMBL)
DB00986,1133,ChEMBL;DrugCentral (IUPHAR)
DB00273,2566,DrugCentral (ChEMBL)
DB01567,2556,DrugBank (target)
DB00882,10280,ChEMBL
DB00536,3742,DrugCentral (ChEMBL)
DB00694,89845,DrugBank (transporter)
DB01567,2563,DrugBank (target)
DB00852,3558,DrugBank (target)
DB00690,1576,DrugBank (enzyme)
DB00849,2556,DrugBank (target)
DB00486,1268,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
DB00451,7067,DrugBank (target);DrugCentral (IUPHAR)
DB01280,5422,DrugBank (target)
DB00248,146,DrugBank (target);PDSP Ki
DB00584,9376,DrugBank (transporter)
DB06144,3355,PDSP Ki
DB00214,5742,DrugBank (enzyme)
DB00050,2798,ChEMBL;DrugBank (target);DrugCentral (ChEMBL)
DB00508,5243,DrugBank (transporter)
DB00162,51109,DrugBank (target)
DB00717,1557,DrugBank (enzyme)
DB01587,5243,DrugBank (transporter)
DB00969,1576,ChEMBL;DrugBank (enzyme)
DB00264,153,BindingDB;DrugBank (target);DrugCentral (ChEMBL)
DB06274,4985,DrugBank (target);PDSP Ki
DB00762,7150,DrugBank (target);DrugCentral (ChEMBL)
DB00788,1559,DrugBank (enzyme)
DB00762,1244,DrugBank (transporter)
DB00458,1132,DrugBank (target)
DB00458,6531,DrugBank (target)
DB00412,1544,DrugBank (enzyme)
DB01623,3269,PDSP Ki
DB00586,9356,DrugBank (transporter)
DB08901,7010,DrugBank (target)
DB00275,185,DrugBank (target);DrugCentral (ChEMBL)
DB06694,147,DrugBank (target)
DB08877,9201,ChEMBL
DB00468,3783,DrugBank (target)
DB00738,1558,DrugBank (enzyme)
DB06262,117247,DrugBank (transporter)
DB00369,9356,DrugBank (transporter)
DB00568,1813,DrugBank (target)
DB01399,5742,DrugBank (target)
DB00834,1565,DrugBank (enzyme)
DB01626,4129,DrugBank (target);DrugCentral (ChEMBL)
DB00363,54657,DrugBank (enzyme)
DB01078,480,DrugCentral (ChEMBL)
DB00700,1576,DrugBank (enzyme)
DB06151,2906,DrugBank (target)
