umls_cui,name
C0206698,Cholangiocarcinoma
C0584995,Writing impaired
C0006144,Breast cyst
C0027438,Nasopharyngeal disorder
C0012833,Dizziness
C0854210,Incomplete precocious puberty
C0853084,High density lipoprotein increased
C0549150,Pseudofolliculitis barbae
C0151463,Breast abscess
C0038534,Subconjunctival hemorrhage
C0854135,Infection pseudomonas aeruginosa
C0152008,Vulvovaginal disorder
C0035344,Retinopathy of prematurity
C0242362,Intervertebral disc protrusion
C1328428,Mycobacterium test
C0015393,Congenital eye disorder
C2242711,Arteritic anterior ischaemic optic neuropathy
C0233469,Blunted affect
C1384597,Acquired megacolon
C1142113,Hyperalbuminaemia
C1112274,Genital discharge
C0037023,Sialoadenitis
C0178416,Hypoplastic anaemia
C0271211,Erythropsia
C0558348,Gastroenteritis bacterial
C0522245,Feeling hot and cold
C0856968,Raised serum lipid levels
C1504405,Pyramidal tract syndrome
C0410256,Muscle injury
C0018944,Haematoma
C0877336,Blood bilirubin decreased
C0156339,Vulval ulceration
C0023529,Periventricular leukomalacia
C0857400,Retrosternal discomfort
C0016059,Fibrosis
C0542184,Reaction gastrointestinal
C0311220,Lymphocytoma cutis
C0235401,Glucose tolerance abnormal
C0917816,Mental deficiency
C0235560,Respiratory tract haemorrhage
C0005697,Neurogenic bladder
C1096250,Gastrointestinal discomfort
C0241934,Hypomania
C0036982,Shock haemorrhagic
C0014511,Cyst epidermal
C0011609,Drug eruption
C0151898,Schizophrenic reaction
C0521622,Bilateral hydronephrosis
C0344365,Incomplete bladder emptying
C0022107,Irritability
C0002170,Alopecia
C0032633,Dyshidrotic eczema
C1328411,Post procedural haematoma
C0948395,Gastrointestinal hypermotility
C0036454,Scotoma
C0278134,Sensory loss
C0860803,Glucose increased
C0030305,Pancreatitis
C0919924,Pulmonary toxicity
C0079744,Diffuse large B-cell lymphoma
C0877027,Joint range of motion decreased
C0231303,Distress
C0521499,Injection site pigmentation changes
C0235069,Tetanus-like
C0159056,Abnormal chest sounds NOS
C0037317,Sleep disturbance
C0854697,Dermatitis flare-up
C0241619,Vaginal cyst
C0221345,Nail discolouration
C0332798,Open wound
C0595938,Increased effect
C0008370,Cholestasis
C0919600,Application site hyperaesthesia
C0021368,Inflammation
C0003868,Gouty arthritis
C1168225,Inner ear infection
C0151726,Injection site hypersensitivity
C0021177,Libido increased
C0854532,Myopericarditis
C0221203,Rash vesicular
C0240802,Pregnancy test positive
C0877117,Cytomegalovirus gastritis
C0235472,Pulse abnormal
C0232132,Thready pulse
C0454643,Word finding difficulty
C0151673,Gonadotropins NOS low
C0035457,Perennial allergic rhinitis
C0243010,Encephalitis viral
C0240327,Taste metallic
C1737211,Hypoglycaemic unconsciousness
C0151465,Renal abscess
C0302809,Hepatitis fulminant
C0853040,Reaction to drug excipients
C0020550,Hyperthyroidism
C0277986,Gingival oedema
C0855775,Pulmonary function test decreased
C0852795,Blood insulin increased
C0040923,Trichomonal vaginitis
C0580413,Prothrombin time shortened
C0267940,Pancreatitis haemorrhagic
C0919702,Ventricular hypokinesia
C0853118,Blood testosterone increased
C0857331,Acute liver damage
C0852878,Non-accidental injury
C0521495,Application site rash
C0149726,Pulmonary mass
C3665444,Neutrophilia
C0438142,Urine analysis abnormal
C1704327,Bone sarcoma
C0206624,Hepatoblastoma
C0948976,Leukaemia cutis
C0153452,Gallbladder cancer
C0011570,Depression
C0027497,Nausea
C0425449,Gasping
C1261562,Detrusor instability
C2363722,Steroid psychosis
C0948595,Ocular discomfort
C0018926,Haematemesis
C1761613,Conjunctival hyperaemia
C0266241,Congenital absence of bile ducts
C0029124,Optic atrophy
C0268407,Cardiac amyloidosis
C0033247,Proctocolitis
C0859290,Black spot
C0575805,Hand swelling
C0542215,Slough injection site
C0521161,Vasculitic rash
C0860204,Cholestatic liver disease
C0948610,Abdominal strangulated hernia
C0853312,Osteoarthritis aggravated
C1168149,Perioral tingling
C0854146,Blood test abnormal
C0004245,Atrioventricular block
C0017412,Genital disorder male
C0155550,Neural hearing loss
C1095923,Febrile bone marrow aplasia
C0847033,Allergic oedema
C0035522,Rib fracture
C0948715,Infusion related reaction
C0031212,Personality disorder
C0426390,Bladder spasm
C2981158,Loss of libido
C0266008,Breast malformation
C0948425,Large intestinal haemorrhage
C0178829,Reproductive tract disorder
C0919661,Heart alternation
C0235055,Skeletal muscle paralysis
C0341503,Peritonitis bacterial
C0153594,Testis cancer
C0263383,Keratosis pilaris
C0854059,pH urine decreased
C0009081,Congenital clubfoot
C0566948,Vaginal swelling
C0554976,Bradyphrenia
C0235996,Hepatic enzyme increased
C0026766,Multi-organ failure
C1142349,Eyelid pain
C0560024,Swelling of eyelid
C0008513,Chorioretinitis
C0024117,Chronic obstructive pulmonary disease
C3203358,Hypoventilation
C1704272,Benign prostatic hyperplasia
C0233569,Physical wandering
C0007859,Neck pain
C0085641,Rash pustular
C0581395,Penile infection
C0751295,Memory loss
C0037188,Sinoatrial block
C0036337,Schizoaffective disorder
C0948521,Oral pruritus
C0013456,Ear pain
C0576091,Knee deformity
C0024314,Lymphoproliferative disorder
C0699828,Serotonin syndrome
C0423729,Painful respiration
C0031315,Phantom limb pain
C0234131,Motor dysfunction
C1306580,Bone mass decreased
C0542239,Tired and heavy
C0740852,Upper airway obstruction
C0239302,Oestrogen low
C0151594,Diarrhoea haemorrhagic
C0026987,Myelofibrosis
C0237314,Heart rate irregular
C0856110,Oedema aggravated
C0235984,Salivary duct obstruction
C0429059,Electrocardiogram T wave amplitude decreased
C0240972,Scrotal erythema
C1112436,QRS axis abnormal
C1455782,Vagotonia
C0007134,Renal cell carcinoma
C0007120,Bronchioloalveolar carcinoma
C0520736,Coombs positive haemolytic anaemia
C0021294,Premature baby
C0042018,Calculus urinary
C0221281,Poikilocytosis
C0040053,Thrombosis
C0014457,Eosinophilia
C1258215,Ileus
C0235980,Scleral discolouration
C0868908,Pancolitis
C0006112,Metabolic encephalopathy
C0024228,Lymphatic disorder
C0027022,Myeloproliferative disorder
C0008313,Cholangitis sclerosing
C0853198,Gastroenteritis yersinia
C0001144,Acne vulgaris
C0242350,Erectile dysfunction
C0041972,Urethral obstruction
C0851341,Infestation NOS
C0234373,Tremor fine
C0282193,Iron overload
C1533591,Deposit calcium
C0235263,Conjunctival congestion
C0085570,Alkalosis hypokalaemic
C0002891,Anaemia neonatal
C0851886,Pneumocystis carinii infection
C0854080,Painful response to normal stimuli
C0236000,Pain in jaw
C0027051,Myocardial infarction
C0276684,Balanitis candida
C0855625,Bilirubin conjugated increased
C0342548,Early menarche
C0008489,Chorea
C0855620,Alanine aminotransferase normal
C0152115,Orofacial dyskinesia
C0854097,Hypoaesthesia eye
C0858226,Plasma cholesterol increased
C1262170,Herpes dermatitis
C0595862,Vasodilatation
C0877089,Vaginal mucosal blistering
C0262414,Cervical vertebral fracture
C1285577,Acute confusional state
C0851536,Administration site reaction
C0003460,Anuria
C2242737,Anorectal discomfort
C0858307,Bilirubin normal
C0014848,Oesophageal achalasia
C0276253,Pneumonia cytomegaloviral
C0206160,Reticulocytosis
C1736186,Postoperative shivering
C0206504,Tympanic membrane perforation
C0151609,Scrotal oedema
C0040427,Tooth malformation
C0948288,Conjunctival discharge
C0403592,Chronic allograft nephropathy
C0541820,Carbohydrate tolerance decreased
C0341742,Acute retention of urine
C0151598,Drug level decreased
C0018780,High frequency deafness
C0435002,Ligament sprain
C1868919,Upper abdominal discomfort
C0151614,Electrolyte depletion
C0007462,Causalgia
C1142080,Injection site stinging
C1142335,Bilirubin abnormal
C0751523,Nonconvulsive status epilepticus
C0154002,Benign vaginal neoplasm
C0264714,Cardiac failure acute
C0021359,Infertility
C0240735,Personality change
C0021670,Insulinoma
C0025297,Meningitis viral
C0856597,Pulmonary alveolitis
C0016722,Frigidity
C0438215,Laboratory test abnormal
C0332579,Lividity
C0948782,Uterine cramps
C0751564,Pill rolling
C1322281,Rhinitis seasonal
C0004352,Autism
C0023480,Chronic myelomonocytic leukaemia
C1096116,Acquired haemophilia
C0403673,Retrograde ejaculation
C0151680,Gonadotropic luteinizing hormone increased
C0858979,Oral mucosa sore
C0578455,Abscess limb
C0221069,Anterior spinal artery syndrome
C0392703,Shakiness
C0600327,Toxic shock syndrome
C1328395,Vaginal contraceptive device expelled
C0859032,Moaning
C0003466,Anal atresia
C0010034,Corneal disorder
C0041948,Uremia
C0235195,Sedation
C0236022,Neoplasm malignant aggravated
C0011876,Cataract diabetic
C0752347,Dementia with Lewy bodies
C0031085,Abscess periodontal
C0265294,Metaphyseal dysplasia
C0235025,Peripheral motor neuropathy
C0424000,Suicidal ideation
C0577115,Soft stools
C0010930,Dacryocystitis
C0342257,Diabetic complication
C0085595,Body odor
C0042345,Varicose vein
C0685707,Muscular ventricular septal defect
C0085621,Spastic paralysis
C0002874,Aplastic anaemia
C0521481,Oedema mucosal
C0919907,Pleural infection
C1328308,Increased upper airway secretion
C1112256,Peripheral sensorimotor neuropathy
C0520532,Subcutaneous haematoma
C0028778,Obstruction
C1868879,Endotracheal tube obstruction
C1328561,Postmenopausal spotting
C0855642,Blood uric acid abnormal
C0281803,Endotracheal intubation complication
C1561643,Chronic kidney disease
C0302592,Cervix carcinoma
C0343361,Gastroenteritis adenovirus
C0853595,Blood cholesterol abnormal
C1112366,Eyelid irritation
C0002895,Sickle cell anaemia
C0221154,Hypertension paroxysmal
C0278106,Ejaculation failure
C0858041,Plasma triglycerides increased
C0233976,Clitoral engorgement
C0026857,Musculoskeletal disorder
C0221158,Multifocal atrial tachycardia
C0476089,Endometrial cancer
C2973529,Leukocytoclastic vasculitis
C0027080,Myoglobinuria
C1306577,Death
C1704373,Compulsive personality disorder
C2242576,Oropharyngeal blistering
C0023370,Leriche syndrome
C0265057,Superficial thrombophlebitis of leg
C0206180,Anaplastic large-cell lymphoma
C0729552,Genital infection
C0233528,Asocial behaviour
C0856623,Orofacial oedema
C0281981,Skin mass
C0085606,Micturition urgency
C1868893,Genital irritation
C0266316,Congenital hydronephrosis
C0521845,Drug effect decreased
C0014850,Oesophageal atresia
C0345907,Hepatic angiosarcoma
C0231686,Unsteady gait
C0428167,Fraction of inspired oxygen
C0750466,Yeast infection
C0018621,Seasonal allergy
C1096225,Vessel puncture site haemorrhage
C0740304,COPD exacerbation
C0006413,Burkitt's lymphoma
C0022408,Arthropathy
C0278151,Facial spasm
C0236061,Haptoglobin increased
C0038367,Ulcerative stomatitis
C0221470,Aphagia
C0242379,Lung neoplasm malignant
C0235620,Haemorrhage urinary tract
C0233467,Inappropriate affect
C0036749,Serositis
C0221717,Contact lens intolerance
C0242584,Autoimmune thrombocytopenia
C0001969,Alcohol intoxication
C0520573,Buffalo hump
C0235467,Angina pectoris aggravated
C1263855,Lumbar radiculopathy
C0024225,Lymphangitis
C0234144,Dysgraphia
C0006152,Breast swelling
C1153706,Endometrial adenocarcinoma
C0003507,Aortic valve stenosis
C0042847,Vitamin B12 deficiency
C0235957,Muscle necrosis
C0152964,Streptococcal sepsis
C0520821,Pleurothotonus
C0030569,Secondary parkinsonism
C1536146,Eyelash darkening
C0085593,Chills
C0948294,Eyelid margin crusting
C0581164,Digoxin level increased
C1608950,Device dislocation
C0006287,Bronchopulmonary dysplasia
C0233519,Suspiciousness
C0042880,Vitamin K deficiency
C0002390,Alveolitis allergic
C1142011,Orchitis noninfective
C1863751,Wound healing normal
C0031099,Periodontitis
C0343387,Neutropenic enterocolitis
C0857175,Postinfarction
C2937350,Abnormal ejaculation
C0521496,Application site infection
C0410740,Finger deformity
C1735368,Acute dystonia
C0151510,Adrenal cortex atrophy
C0022667,Renal papillary necrosis
C0079773,Cutaneous T-cell lymphoma
C0020624,Hypomenorrhoea
C0541923,Lip oedema
C0018418,Gynaecomastia
C0221758,Stiff back
C0151595,Digitalis intoxication (NOS)
C0861111,Cardioactive drug level increased
C0521839,Influenza like illness
C0234047,Ejaculation delayed
C0920103,Haematotoxicity
C0043349,Xerophthalmia
C1442903,Exostosis
C0877203,Respiratory tract infection viral
C0004134,Ataxia
C0854107,Haemorrhage subcutaneous
C0013182,Drug hypersensitivity
C2004491,Scar
C1279296,Chronic leukaemia
C0595929,Cholesterol serum elevated
C0014866,Oesophageal stenosis
C0456511,Sleep paralysis
C0855333,Electrocardiogram QT corrected interval prolonged
C0030319,Panic disorder
C0853813,Local reaction
C0020312,Hydrothorax
C0026858,Musculoskeletal pain
C0031133,Vermiculation
C0345326,Phimosis
C0852911,Blood alkaline phosphatase increased
C0748055,Psychiatric decompensation
C0038463,Strongyloidiasis
C0677660,Emotional problems
C1142160,Application site discolouration
C0031036,Polyarteritis nodosa
C0853225,International normalised ratio increased
C0034152,Henoch-Schonlein purpura
C0272386,Tonsillar hypertrophy
C1868752,Procedural nausea
C0020039,Hostility
C0008449,Chondrodystrophy
C0011848,Diabetes insipidus
C0019521,Hiccups
C1704436,Peripheral arterial disease
C0241705,Strangury
C0042165,Anterior uveitis
C0239026,Chest X-ray normal
C0863113,Hypotension symptomatic
C0278079,Dependence psychological
C0005818,Platelet disorder
C0860493,Refractory hypertension
C0877717,Burning mouth
C0854388,Caustic injury
C0740481,Hypotension asymptomatic
C0877048,Oral fungal infection
C0236663,Alcohol withdrawal syndrome
C1455780,Aortic valve sclerosis
C0391996,Hepatic atrophy
C0851883,Neisseria infection
C0016579,Formication
C0013295,Duodenal ulcer
C0856152,Buccal mucosal roughening
C0332601,Cushingoid
C0151491,Congenital musculoskeletal anomaly
C0273115,Traumatic lung injury
C0948179,Postoperative constipation
C0220981,Metabolic acidosis
C0034882,Rectal disorder
C2242574,Compulsive sexual behaviour
C0235266,Eye irritation
C0239833,Hand pain
C0853700,Application site erythema
C0156543,Abortion
C0853087,Nail abnormality NOS
C0235551,Laryngotracheal oedema
C0018134,Graft versus host reaction
C0595930,Blood cholesterol increased
C0575090,Balance disorder
C0239935,Haematocrit increased
C0281913,Muscle swelling
C0677483,Carcinoma testes
C1868730,Genital discomfort
C0857183,Pre-menstrual tension syndrome
C0235475,Electrocardiogram QRS complex prolonged
C0007131,Non-small cell lung cancer
C0149793,Amaurosis fugax
C0030326,Panniculitis
C0234632,Visual acuity reduced
C0275378,Tobacco poisoning
C0521506,Injection site paraesthesia
C0162429,Malnutrition
C0023484,Plasma cell leukaemia
C2945558,Vulvovaginitis trichomonal
C0264383,Organising pneumonia
C1260926,Abnormal pigmentation
C3495832,Rheumatic disorder
C0270823,"Petit mal status, epileptic"
C1542178,Lower limb fracture
C0002418,Amblyopia
C0269596,Haemorrhage in pregnancy
C0234022,Anorgasmia
C0740804,Adnexal torsion
C3665624,Blood calcium decreased
C0040213,Costochondritis
C0426584,Appetite exaggerated
C0151773,Bone marrow depression
C2930821,Keratitis sicca
C0860988,Phosphate increased
C0026848,Myopathy
C0022906,Lacrimal duct obstruction
C0028841,Hypotony of eye
C0085669,Acute leukaemia
C1504561,Hypophagia
C0151190,Palpable purpura
C0016927,Gagging
C0042755,Virilism
C0425591,Dropped beats
C0700613,Anxiety state
C0011649,Dermoid cyst
C0392163,Corneal erosion
C0151526,Premature delivery
C0235876,Depression aggravated
C0028432,Nasal disorder
C0020514,Hyperprolactinaemia
C0751674,Lymphangioleiomyomatosis
C0240211,Lip swelling
C0233657,Flight of ideas
C0234925,Oily skin
C0522165,Feeling of relaxation
C0015402,Eye haemorrhage
C0860805,Urine ketone body present
C0018128,Vascular graft occlusion
C1504419,Pelvic haemorrhage
C3495700,Atypical fracture
C0016689,Ephelides
C1956089,Bone spur
C1142158,Hepatic vein occlusion
C0740409,Psychotic behaviour
C0857980,Serum prolactin increased
C0751265,Learning disability
C0032461,Polycythaemia
C2004487,Vaginismus
C0234936,Application site oedema
C0853711,Sperm count decreased
C0740457,Renal cancer
C0425492,Respiration irregularity
C0239571,Foetor hepaticus
C0235490,Peripheral ischaemia
C0239819,Edema hands
C0153618,Malignant neoplasm of renal pelvis
C0022656,Renal cortical necrosis
C0017565,Gingival bleeding
C0233697,Obsessive rumination
C0220994,Hyperammonaemia
C0240897,Retinal exudates
C1325847,Sensitisation
C0700184,Throat irritation
C0520463,Hepatitis chronic active
C0234922,Rash scaly
C0311468,Blood bilirubin increased
C0241442,Protrusion tongue
C0025274,Menarche
C0521616,Pseudoporphyria
C0877617,Intestinal cramps
C0232409,Hair growth abnormal
C0231530,Muscle twitching
C1740793,Post-tussive vomiting
C0151639,Fertility female decreased
C0032227,Pleural effusion
C0002888,Anaemia megaloblastic
C0005758,Blister
C0149523,Acute cystitis
C1142499,Gastrointestinal toxicity
C0151571,Corneal lesion
C0276908,Pneumocystis jirovecii infection
C0028738,Nystagmus
C0039437,Teething
C0858520,Serum gastrin increased
C0042994,Vulval disorder
C0040262,Tinea versicolour
C0221785,Ache wrists
C0392160,Application site atrophy
C0235198,Cerebration impaired
C0867389,Chronic graft versus host disease
C0001396,Adams-Stokes syndrome
C0852970,Dacryoadenitis acquired
C0021290,Neonatal disorder
C0010308,Congenital hypothyroidism
C0398625,Protein C deficiency
C1168175,Incision site haematoma
C0085623,Akinesia
C0267509,Chronic idiopathic constipation
C0024523,Malabsorption
C0949070,Upper respiratory tract congestion
C0239549,Fat intolerance
C0264909,Defect conduction intraventricular
C0750194,Non-sustained ventricular tachycardia
C0751436,Tetrahydrobiopterin deficiency
C0853857,Cellulitis staphylococcal
C0859350,Serum transaminase increased
C0553732,Prothrombin level decreased
C1269955,Tumour invasion
C0151786,Muscular weakness
C0026918,Mycobacterial infection
C1368107,Bone marrow aplastic
C1096343,Infusion site reaction
C1096082,Oesophageal discomfort
C0151683,Neutrophil count increased
C0009324,Colitis ulcerative
C0546343,Mucosal erosion
C0027609,Drug withdrawal syndrome neonatal
C0233571,Excitement
C0234162,Dysmetria
C0338656,Cognitive impairment
C0344431,Monomorphic ventricular tachycardia
C0520474,Aseptic necrosis of bone
C0239340,Edema of lower extremities
C1141959,ECG signs of myocardial ischaemia
C0403639,Chemical cystitis
C0002965,Angina unstable
C0025063,Mediastinum neoplasm
C0853753,Blood phosphate increased
C0919892,Blood pressure inadequately controlled
C0858249,Increased agitation
C0392618,Postoperative infection
C0018799,Cardiac disorder
C2607914,Rhinitis allergic
C0854425,Sputum discoloured
C0221100,Hangover
C0151281,Genital ulceration
C0027540,Necrosis
C0022572,Keratoacanthoma
C0018818,Ventricular septal defect
C0521158,Neoplasm recurrence
C0021061,Immunology test
C0748536,Scleral haemorrhage
C0034735,Raynaud's phenomenon
C0541760,Hepatic adenoma
C0403632,Cystitis noninfective
C1963818,Gastrointestinal sounds abnormal
C0150055,Chronic pain
C0029408,Osteoarthritis
C0040460,Toothache
C0026846,Muscle atrophy
C0234458,Abnormal dreams
C1527311,Brain oedema
C0853759,Blood potassium abnormal
C1443060,Feeling abnormal
C0237020,Dermoid cyst of ovary
C1456822,Claudication
C0748023,Bacterial prostatitis
C2748362,Vulvovaginal erythema
C1736172,Acute cytolytic hepatitis
C2938970,Penile curvature
C0221185,Xanthopsia
C0024440,Cystoid macular oedema
C0267821,Hepatic congestion
C0038999,Swelling
C0238425,Sickle cell anaemia with crisis
C0011168,Dysphagia
C0017650,Globus hystericus
C0151919,Bladder stenosis
C0522570,Inflammation localised
C1262168,Cholecystitis infective
C0277885,Blood pressure systolic decreased
C0221706,Road traffic accident
C3665770,Acquired lipoatrophic diabetes
C0877097,Application site vesicles
C0233558,Temper tantrum
C0853021,Blood oestrogen decreased
C0856054,Mental status changes
C0151995,Degeneration of uterine fibroid
C0040479,Torsade de pointes
C0854111,Blood triglycerides decreased
C0025061,Mediastinal disorder
C1112257,Oral pustule
C0001925,Albuminuria
C0521491,Application site pain
C0235960,Parkinsonism aggravated
C0435001,Ligament injury
C0008035,Chest wall pain
C0034069,Pulmonary fibrosis
C0860646,Morbid dreams
C0231874,Wheezing inspiratory
C0007780,Cerebral artery embolism
C0853123,Blood luteinising hormone increased
C0079924,Oligohydramnios
C0035078,Renal failure
C2004521,Anaemia vitamin B12 deficiency
C0235848,Skin cold clammy
C0268621,Hypermethioninaemia
C0262576,Nerve paralysis
C0857172,Persistent dry cough
C0221278,Anisocytosis
C1261473,Sarcoma
C1142068,Arcus lipoides
C0003892,Neuropathic arthropathy
C0311245,Congenital cystic kidney disease
C0020555,Hypertrichosis
C0854431,Injection site vesicles
C0235746,Saliva altered
C0030332,Panophthalmitis
C0236826,Expressive language disorder
C0151971,Intestinal ulcer
C0877325,Anal sphincter atony
C0522063,Impaired gastric emptying
C1112559,Pancreatitis due to biliary obstruction
C0018552,Hamartoma
C0521492,Application site ulcer
C0042420,Syncope vasovagal
C0037287,Skin nodule
C1698818,Photodamaged skin
C0262977,Skin depigmentation
C0012746,Dissociative disorder
C0151544,Gastrointestinal carcinoma
C2748540,Mucosal bleeding
C0005959,Marrow hyperplasia
C0016436,Folliculitis
C0340278,Atrial hypertrophy
C0235698,Abdominal distension gaseous
C0026266,Mitral valve incompetence
C0033778,Pruritus vulvae
C0235046,Paraesthesia skin
C0744221,Friction rub
C1112625,Cerebellar oedema
C0235883,Uterine inflammation
C0003838,Arterial occlusive disease
C0542101,Nasal burning
C0026764,Plasma cell myeloma
C0151754,Lactic dehydrogenase activity increased
C1504494,Tingling of extremity
C1096274,Corneal thinning
C0034186,Pyelonephritis
C0855619,Alanine aminotransferase abnormal
C0234935,Acute urticaria
C0013395,Dyspepsia
C0016397,Localised infection
C0016807,Intestinal functional disorder
C0917799,Hypersomnia
C0024115,Lung disorder
C0877406,Performance status decreased
C0749249,Wide complex tachycardia
C0153349,Tongue neoplasm malignant stage unspecified
C0262385,Autonomic nervous system imbalance
C0854725,Cyanopsia
C1260871,Acetonaemia
C0005687,Bladder distension
C0025281,Meniere's disease
C0424296,Disinhibition
C0152202,Acquired night blindness
C2747813,Bacterial colonisation
C0341245,Duodenitis haemorrhagic
C0568180,Lithium poisoning
C0025289,Meningitis
C0035288,Reticuloendotheliosis
C0036974,Shock
C0521554,Congenital vesicoureteric reflux
C0152517,Viral diarrhoea
C0272426,Mouth injury
C0272753,Femur shaft fracture
C0231365,Urination impaired
C0920157,Mesenteric ischemia
C1096300,Genital burning sensation
C0580493,Serum albumin decreased
C0038002,Splenomegaly
C0002962,Angina pectoris
C0000924,Accident
C0000786,Abortion spontaneous
C0152010,Withdrawal bleed
C1621958,Glioblastoma multiforme
C1140716,Hypoxic-ischaemic encephalopathy
C0038354,Gastric disorder
C0008924,Cleft lip
C0267792,Hepatobiliary disease
C0034212,Pyoderma
C0028850,Eye movement disorder
C0549335,Bone pain aggravated
C0037672,Somnambulism
C0392175,Renal haemorrhage
C0015927,Foetal death
C0029434,Osteogenesis imperfecta
C0853074,Anxiety NEC
C0347941,Chest mass NOS
