uniprot,target_name
P11229,Muscarinic acetylcholine receptor M1/M5 chimeric protein
P11229,Muscarinic acetylcholine receptor M1 and M3
P00519,Tyrosine-protein kinase ABL1
P00519,Bcr/Abl fusion protein
P00519,Tyrosine-protein kinase ABL
P00519,Ras and Rab interactor 1/Tyrosine-protein kinase ABL1
P00519,Transcription factor ETV6/Tyrosine-protein kinase ABL1
P00519,Baculoviral IAP repeat-containing protein 2/BCR/ABL
P00519,E3 ubiquitin-protein ligase XIAP/BCR/ABL
P00519,Protein cereblon/BCR/ABL
P00519,von Hippel-Lindau disease tumor suppressor/ABL1
P00519,Protein cereblon/Tyrosine-protein kinase ABL1
P00519,von Hippel-Lindau disease tumor suppressor/BCR-ABL1
P40238,Thrombopoietin receptor
Q9UBN7,Histone deacetylase 6
Q9UBN7,Histone deacetylase
Q9UBN7,Histone deacetylase 1/2/3/6
Q9UBN7,Histone deacetylase 1/6
Q9UBN7,Histone deacetylase 6/3
Q9UBN7,Protein cereblon/Histone deacetylase 6
Q9UBN7,von Hippel-Lindau disease tumor suppressor/Histone deacetylase 6
Q9UBN7,HDAC6-ISG15
P08588,Beta-1 adrenergic receptor
P08588,Adrenergic receptor beta
P08588,Adrenergic receptor beta; ADRB1 & ADRB2
P08588,Adrenergic receptor beta; ADRB1 & ADRB3
P08588,Adrenergic receptor
Q99720,Sigma non-opioid intracellular receptor 1
Q99720,Sigma receptor
Q13621,Solute carrier family 12 member 1
P55017,Solute carrier family 12 member 3
P9WNL9,Probable arabinosyltransferase A
P41180,Extracellular calcium-sensing receptor
P43116,Prostaglandin E2 receptor EP2 subtype
P43116,Prostaglandin E2 receptor
O96760,Nicotinic acetylcholine receptor alpha subunit
Q14654,ATP-sensitive inward rectifier potassium channel 11
Q14654,Sulfonylurea receptors; K-ATP channels
Q14654,"Sulfonylurea receptor 2, Kir6.2"
Q14654,"Sulfonylurea receptor 1, Kir6.2"
P37288,Vasopressin V1a receptor
P37288,Vasopressin V1 receptor
P37288,Vasopressin receptor
P37288,Vasopressin V1a/V2
P28222,5-hydroxytryptamine receptor 1B
P28222,Serotonin 1 receptors; 5-HT1B & 5-HT1D
P28222,Serotonin (5-HT) receptor
P28222,5-HT1B/5-HT1F
P28222,Serotonin 1 (5-HT1) receptor
P46098,5-hydroxytryptamine receptor 3A
P46098,Serotonin 3 (5-HT3) receptor
P46098,Serotonin (5-HT) receptor
P46098,5-hydroxytryptamine receptor 3A/3E
P46098,5-hydroxytryptamine receptor 3A/3C
P32238,Cholecystokinin receptor type A
P32238,Cholecystokinin receptor
P32238,Cholecystokinin(CCK) A/B
P62942,Peptidyl-prolyl cis-trans isomerase FKBP1A
P62942,FKBP12A/mTOR
P62942,RyR1/FKBP12
P62942,Protein cereblon/Peptidyl-prolyl cis-trans isomerase FKBP1A
P62942,mTOR/FKBP12A/FKBP12B
P04049,RAF proto-oncogene serine/threonine-protein kinase
P04049,Serine/threonine-protein kinase RAF and Dual specificity mitogen-activated protein kinase kinase 1 (Raf/MEK)
P04049,RAF serine/threonine protein kinase
P04049,B-raf/RAF proto-oncogene serine/threonine-protein kinase
P04049,Dual specificity mitogen-activated protein kinase kinase 1/Mitogen-activated protein kinase 1/RAF proto-oncogene serine/threonine-protein kinase
P04049,BRAF/CRAF
P04049,14-3-3 eta/c-RAF
P04049,GTPase KRas/RAF1
P00813,Adenosine deaminase
P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial"
P51649,Aldehyde dehydrogenase
P31645,Sodium-dependent serotonin transporter
P31645,Monoamine transporters; serotonin & dopamine
P31645,Serotonin and norepinephrine transporters (SERT/NET)
P31645,Monoamine transporter
P09619,Platelet-derived growth factor receptor beta
P09619,Platelet-derived growth factor receptor
P09619,VEGF-receptor 2 and PDGF-receptor beta (KDR and PDGFR beta)
P09619,von Hippel-Lindau disease tumor suppressor/PDGFRB
P09619,Protein cereblon/Platelet-derived growth factor receptor beta
P30872,Somatostatin receptor type 1
P30872,Somatostatin receptor
P47901,Vasopressin V1b receptor
P47901,Vasopressin V1 receptor
P47901,Vasopressin receptor
P37231,Peroxisome proliferator-activated receptor gamma
P37231,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 3
P37231,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 1
P37231,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2
P37231,Peroxisome proliferator-activated receptor gamma/Nuclear receptor corepressor 2
P37231,PPAR alpha/gamma
P37231,PPAR delta/gamma
P37231,RXR alpha/PPAR gamma
P37231,Peroxisome proliferator-activated receptor
P47872,Secretin receptor
Q07869,Peroxisome proliferator-activated receptor alpha
Q07869,PPAR alpha/gamma
Q07869,Peroxisome proliferator-activated receptor
Q16881,"Thioredoxin reductase 1, cytoplasmic"
Q16881,Thioredoxin reductase
P47989,Xanthine dehydrogenase/oxidase
Q9BQB6,Vitamin K epoxide reductase complex subunit 1
P05091,"Aldehyde dehydrogenase, mitochondrial"
P05091,Aldehyde dehydrogenase
P10721,Mast/stem cell growth factor receptor Kit
P10721,VEGF-receptor 2 and stem cell growth factor receptor (KDR and KIT)
P10721,von Hippel-Lindau disease tumor suppressor/KIT
P10721,Protein cereblon/Stem cell growth factor receptor
P51681,C-C chemokine receptor type 5
P51681,CCR5/mu opioid receptor complex
P13922,Bifunctional dihydrofolate reductase-thymidylate synthase
P25021,Histamine H2 receptor
P27487,Dipeptidyl peptidase 4
P27487,Dipeptidyl peptidase II and dipeptidyl peptidase IV (DPP2 and DPP4)
P08908,5-hydroxytryptamine receptor 1A
P08908,Serotonin (5-HT) receptor
P08908,Dopamine D2 receptor and serotonin 1a receptor
P08908,5-HT1A/5-HT1F
P08908,Serotonin 1 (5-HT1) receptor
P62937,Peptidyl-prolyl cis-trans isomerase A
P01008,Antithrombin-III
P01008,Coagulation factor X/antithrombin III
P04818,Thymidylate synthase
P04818,Thymidylate synthase/AICAR transformylase
P04818,Thymidylate synthase/GAR transformylase/AICAR transformylase
P08069,Insulin-like growth factor 1 receptor
P08069,von Hippel-Lindau disease tumor suppressor/Insulin-like growth factor 1 receptor
P14778,Interleukin-1 receptor type 1
P16473,Thyrotropin receptor
Q01718,Adrenocorticotropic hormone receptor
Q02127,"Dihydroorotate dehydrogenase (quinone), mitochondrial"
P07101,Tyrosine 3-monooxygenase
Q12809,Voltage-gated inwardly rectifying potassium channel KCNH2
Q12809,Voltage-gated potassium channel
Q12809,Melanin-concentrating hormone receptor 2/HERG
Q12879,"Glutamate receptor ionotropic, NMDA 2A"
Q12879,Glutamate NMDA receptor; GRIN1/GRIN2A
Q12879,Glutamate [NMDA] receptor
Q12879,Glutamate NMDA receptor; GRIN1/GRIN2A/GRIN2B
P14679,Tyrosinase
P36888,Receptor-type tyrosine-protein kinase FLT3
P36888,Aurora kinase B/Receptor-type tyrosine-protein kinase
P36888,von Hippel-Lindau disease tumor suppressor/FLT3
P36888,Protein cereblon/Tyrosine-protein kinase receptor FLT3
P10912,Growth hormone receptor
P11473,Vitamin D3 receptor
P11473,Retinoic acid receptor RXR-alpha/Vitamin D3 receptor
P11473,von Hippel-Lindau disease tumor suppressor/Vitamin D3 receptor
P11511,Aromatase
P11511,von Hippel-Lindau disease tumor suppressor/Aromatase
Q14524,Sodium channel protein type 5 subunit alpha
Q14524,Sodium channel alpha subunit
Q14524,SCN5A/SCN1B
Q14524,Sodium channel protein type 5 subunit alpha/beta-1/beta-2
P06213,Insulin receptor
P41972,Isoleucine--tRNA ligase
P28221,5-hydroxytryptamine receptor 1D
P28221,Serotonin 1 receptors; 5-HT1B & 5-HT1D
P28221,Serotonin (5-HT) receptor
P28221,5-HT1D/5-HT1F
P28221,Serotonin 1 (5-HT1) receptor
P28223,5-hydroxytryptamine receptor 2A
P28223,Serotonin 2 (5-HT2) receptor
P28223,Serotonin 2 receptors; 5-HT2a & 5-HT2c
P28223,Serotonin (5-HT) receptor
P28223,Dopamine D2 receptor and serotonin 2a receptor
P28223,5-hydroxytryptamine receptor 2A/Metabotropic glutamate receptor 2
P28335,5-hydroxytryptamine receptor 2C
P28335,Serotonin 2 (5-HT2) receptor
P28335,Serotonin 2 receptors; 5-HT2a & 5-HT2c
P28335,Serotonin (5-HT) receptor
P28335,Serotonin receptor (2b and 2c)
P0A749,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
P47871,Glucagon receptor
P00797,Renin
P43088,Prostaglandin F2-alpha receptor
Q92731,Estrogen receptor beta
Q92731,Estrogen receptor
Q92731,von Hippel-Lindau disease tumor suppressor-Estrogen receptor beta
P16066,Atrial natriuretic peptide receptor 1
P16066,Atrial natriuretic peptide receptor
P16444,Dipeptidase 1
Q9Y6K1,DNA (cytosine-5)-methyltransferase 3A
Q9Y6K1,DNMT3A2/3L complex
P26358,DNA (cytosine-5)-methyltransferase 1
P08235,Mineralocorticoid receptor
P43119,Prostacyclin receptor
P29274,Adenosine receptor A2a
P29274,Adenosine A2 receptor
P29274,Adenosine receptors; A2a & A3
P29274,Adenosine receptors; A1 & A2
P29274,Adenosine receptors; A1 & A2a
P29274,Adenosine receptor
P29274,Adenosine receptors; A2a & A2b
Q99062,Granulocyte colony-stimulating factor receptor
Q99808,Equilibrative nucleoside transporter 1
Q99808,Equilibrative nucleoside transporter 1/2/3/4
Q7L0J3,Synaptic vesicle glycoprotein 2A
Q7L0J3,Synaptic vesicle protein
P03952,Plasma kallikrein
P03952,Coagulation factor X and plasma kallikrein
P13631,Retinoic acid receptor gamma
P13631,Retinoic acid receptor
P13631,Retinoid receptor
P13631,Retinoic acid receptor RXR-alpha/gamma
P10826,Retinoic acid receptor beta
P10826,Retinoic acid receptor
P10826,Retinoid receptor
P10826,Retinoic acid receptor RXR-alpha/Retinoic acid receptor beta
P10276,Retinoic acid receptor alpha
P10276,Retinoic acid receptor
P10276,Retinoid receptor
P10276,Retinoid X receptor gamma/retinoic acid receptor alpha
P10276,Retinoic acid receptor alpha/Retinoid X receptor alpha
P10276,PML-RARalpha
P95029,Fatty acid synthase
P38435,Vitamin K-dependent gamma-carboxylase
Q25704,Dihydropteroate synthetase
P12931,Proto-oncogene tyrosine-protein kinase Src
P12931,VEGF-receptor 2 and tyrosine-protein kinase SRC
P12931,SRC
P12931,Calmodulin/Proto-oncogene tyrosine-protein kinase Src
P12931,von Hippel-Lindau disease tumor suppressor/SRC
P12931,Src/Lck kinase
P12931,Protein cereblon/Tyrosine-protein kinase SRC
Q01959,Sodium-dependent dopamine transporter
Q01959,Monoamine transporters; serotonin & dopamine
Q01959,Monoamine transporters; Norepinephrine & dopamine
Q01959,Monoamine transporter
P35372,Mu-type opioid receptor
P35372,Opioid receptors; mu & delta
P35372,Opioid receptors; mu & kappa
P35372,Opioid receptors; mu/kappa/delta
P35372,CCR5/mu opioid receptor complex
P35372,Mu opioid receptor/Alpha-2A adrenergic receptor
P35372,Cannabinoid receptor 1/Mu-type opioid receptor
P21964,Catechol O-methyltransferase
P22303,Acetylcholinesterase
P22303,Cholinesterases; ACHE & BCHE
P23945,Follicle-stimulating hormone receptor
P35968,Vascular endothelial growth factor receptor 2
P35968,Vascular endothelial growth factor receptor
P35968,Vascular endothelial growth factor receptor 2 and 3 (KDR and Flt-4)
P35968,VEGF-receptor 2 and stem cell growth factor receptor (KDR and KIT)
P35968,VEGF-receptor 2 and Fibroblast growth factor receptor 2
P35968,VEGF-receptor 2 and Fibroblast growth factor receptor 1
P35968,VEGF-receptor 2 and PDGF-receptor beta (KDR and PDGFR beta)
P35968,Vascular endothelial growth factor receptor 1 and 2 (Flt-1 and KDR)
P35968,VEGF-receptor 2 and tyrosine-protein kinase SRC
P35968,Vascular endothelial growth factor receptor 2 and tyrosine-protein kinase TIE-2 (KDR and TIE2)
P35968,TEL/KDR
P35968,von Hippel-Lindau disease tumor suppressor/Vascular endothelial growth factor receptor 2
P35968,VEGFR2-VEGA
P32745,Somatostatin receptor type 3
P32745,Somatostatin receptor
P9WP31,D-alanine--D-alanine ligase
Q02643,Growth hormone-releasing hormone receptor
P05108,"Cholesterol side-chain cleavage enzyme, mitochondrial"
P04150,Glucocorticoid receptor
Q72547,Human immunodeficiency virus type 1 reverse transcriptase
P27338,Amine oxidase [flavin-containing] B
P27338,Monoamine oxidase
P06729,T-cell surface antigen CD2
P06729,Lymphocyte function-associated antigen 3/T-cell surface antigen CD2
P06239,Tyrosine-protein kinase Lck
P06239,SRC
P06239,von Hippel-Lindau disease tumor suppressor/Tyrosine-protein kinase Lck
P06239,Src/Lck kinase
P06239,Protein cereblon/DNA damage-binding protein 1/Tyrosine-protein kinase Lck
P06239,Protein cereblon/Tyrosine-protein kinase Lck
P06239,Tyrosine-protein kinase BTK/Tyrosine-protein kinase Lck
P04746,Pancreatic alpha-amylase
Q96RI1,Bile acid receptor
P30559,Oxytocin receptor
P03468,Neuraminidase
P0DOF8,Matrix protein 2
P00374,Dihydrofolate reductase
P21728,D(1A) dopamine receptor
P21728,Dopamine receptor
P21728,Dopamine D1 and D2 receptor
Q16739,Ceramide glucosyltransferase
P29317,Ephrin type-A receptor 2
P29317,Ephrin receptor
P29317,Ephrin type-A receptor 2/Ephrin-A1
P03372,Estrogen receptor
P03372,Baculoviral IAP repeat-containing protein 2/Estrogen receptor
P03372,Protein cereblon/Estrogen receptor
P03372,Protein cereblon/Cullin-4A/Estrogen receptor
P03372,Estrogen receptor/E3 ubiquitin-protein ligase XIAP
P03372,von Hippel-Lindau disease tumor suppressor/Estrogen receptor
P03372,von Hippel-Lindau disease tumor suppressor/Cullin-2/Estrogen receptor alpha
P35499,Sodium channel protein type 4 subunit alpha
P35499,Sodium channel alpha subunit
P35499,Sodium channel protein type 4 subunit alpha/beta-1/beta-2
O43451,Maltase-glucoamylase
O43451,Alpha glucosidase
P23975,Sodium-dependent noradrenaline transporter
P23975,Monoamine transporters; Norepinephrine & dopamine
P23975,Serotonin and norepinephrine transporters (SERT/NET)
P23975,Monoamine transporter
P61073,C-X-C chemokine receptor type 4
P00451,Coagulation factor VIII
P00451,Coagulation factor IX/VIII
P30411,B2 bradykinin receptor
P08631,Tyrosine-protein kinase HCK
P08631,SRC
O43570,Carbonic anhydrase 12
O43570,Carbonic anhydrase
P10253,Lysosomal alpha-glucosidase
P10253,Alpha glucosidase
P22607,Fibroblast growth factor receptor 3
P22607,Fibroblast growth factor receptor
P22607,Protein cereblon/FGFR3
P00390,"Glutathione reductase, mitochondrial"
P23458,Tyrosine-protein kinase JAK1
P23458,Janus Kinase (JAK)
P23458,JAK3/JAK1
P23458,JAK2/JAK1
P23458,JAK1/JAK2/TYK2
P23458,JAK1/TYK2
P23458,E3 ubiquitin-protein ligase XIAP/JAK1
P23458,Protein cereblon/JAK1
P23458,JAK1/STAT1
P36507,Dual specificity mitogen-activated protein kinase kinase 2
P36507,Dual specificity mitogen-activated protein kinase kinase; MEK1/2
P36507,Protein cereblon/MAP2K2
P36507,von Hippel-Lindau disease tumor suppressor/MAP2K2
P36507,von Hippel-Lindau disease tumor suppressor-MAP2K1/MAP2K2
P36507,Protein cereblon/MAP2K1/MAP2K2
O60674,Tyrosine-protein kinase JAK2
O60674,Janus Kinase (JAK)
O60674,JAK2/JAK1
O60674,JAK1/JAK2/TYK2
O60674,JAK2/TYK2
O60674,E3 ubiquitin-protein ligase XIAP/JAK2
O60674,Protein cereblon/Tyrosine-protein kinase JAK2
O60674,JAK2/JAK3
O60674,JAK2-STAT3
P00439,Phenylalanine-4-hydroxylase
P02751,Fibronectin
P31639,Sodium/glucose cotransporter 2
P07948,Tyrosine-protein kinase Lyn
P07948,SRC
P07948,Tyrosine-protein kinase BTK/Tyrosine-protein kinase Lyn
P0DJD9,Pepsin A
Q7Z2W7,Transient receptor potential cation channel subfamily M member 8
P03474,Neuraminidase
Q7ZJM1,Human immunodeficiency virus type 1 integrase
P05093,"Steroid 17-alpha-hydroxylase/17,20 lyase"
Q02750,Dual specificity mitogen-activated protein kinase kinase 1
Q02750,Dual specificity mitogen-activated protein kinase kinase; MEK1/2
Q02750,Serine/threonine-protein kinase RAF and Dual specificity mitogen-activated protein kinase kinase 1 (Raf/MEK)
Q02750,Dual specificity mitogen-activated protein kinase kinase 1/Mitogen-activated protein kinase 1/RAF proto-oncogene serine/threonine-protein kinase
Q02750,Protein cereblon/MAP2K1
Q02750,von Hippel-Lindau disease tumor suppressor/MAP2K1
Q02750,von Hippel-Lindau disease tumor suppressor-MAP2K1/MAP2K2
Q02750,Protein cereblon/MAP2K1/MAP2K2
P12259,Coagulation factor V
P12259,Prothrombinase complex
P12259,Coagulation factor V/Coagulation factor X/Serine/threonine-protein kinase BRSK2
P11362,Fibroblast growth factor receptor 1
P11362,Fibroblast growth factor receptor
P11362,VEGF-receptor 2 and Fibroblast growth factor receptor 1
P11362,Protein cereblon/FGFR1
P11362,von Hippel-Lindau disease tumor suppressor/FGFR1
P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2
P43115,Prostaglandin E2 receptor EP3 subtype
P43115,Prostaglandin E2 receptor
P08581,Hepatocyte growth factor receptor
P22748,Carbonic anhydrase 4
P22748,Carbonic anhydrase
P13945,Beta-3 adrenergic receptor
P13945,Adrenergic receptor beta
P13945,Adrenergic receptor beta; ADRB1 & ADRB3
P13945,Beta-2 adrenergic receptor and beta-3 adrenergic receptor
P13945,Adrenergic receptor
Q15759,Mitogen-activated protein kinase 11
Q15759,MAP kinase p38
Q15759,p38 MAP kinase alpha/beta
P22102,Trifunctional purine biosynthetic protein adenosine-3
P22102,GAR transformylase/AICAR transformylase
P22102,Thymidylate synthase/GAR transformylase/AICAR transformylase
P13569,Cystic fibrosis transmembrane conductance regulator
P13569,Cystic fibrosis transmembrane conductance regulator/Golgi-associated PDZ and coiled-coil motif-containing protein
P09237,Matrilysin
P21802,Fibroblast growth factor receptor 2
P21802,Fibroblast growth factor receptor
P21802,VEGF-receptor 2 and Fibroblast growth factor receptor 2
P21802,Fibroblast growth factor 1/Fibroblast growth factor receptor 2
P21802,Protein cereblon/FGFR2
P21802,von Hippel-Lindau disease tumor suppressor/Fibroblast growth factor receptor 2
P42685,Tyrosine-protein kinase FRK
P42685,SRC
Q9UM73,ALK tyrosine kinase receptor
Q9UM73,NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor)
Q9UM73,EML4-ALK
Q9UM73,Protein cereblon/NPM/ALK
Q9UM73,Protein cereblon/EML4/ALK
Q9UM73,von Hippel-Lindau disease tumor suppressor/ALK
Q9UM73,von Hippel-Lindau disease tumor suppressor/EML4-ALK
Q9UM73,Protein cereblon/ALK tyrosine kinase receptor
Q9UM73,ALK-TFG
Q9UM73,ALK-KLC1
Q9UM73,ALK-KIF5B
Q9UM73,ALK-TPM1
Q9UM73,ALK-TPM3
Q9UM73,Glucose-induced degradation protein 4 homolog/EML4-ALK
Q9UM73,ZYG11B/ZER1/EML4-ALK
O15554,Intermediate conductance calcium-activated potassium channel protein 4
O15554,Calcium-activated potassium channel
P0CS13,Thymidylate synthase
Q00975,Voltage-dependent N-type calcium channel subunit alpha-1B
Q00975,Voltage-gated N-type calcium channel alpha-1B subunit/Amyloid beta A4 precursor protein-binding family A member 1
Q00975,Voltage-gated calcium channel
Q00975,Voltage-dependent N-type calcium channel subunit alpha-1B/Voltage-dependent calcium channel subunit alpha-2/delta-1/Voltage-dependent L-type calcium channel subunit beta-3
Q00975,N-type calcium channel alpha-1b/alpha2delta-1/beta-1b
P22894,Neutrophil collagenase
P22894,Collagenase
P45452,Collagenase 3
P45452,Collagenase
P45452,Matrix metalloproteinase (1 and 13)
P45452,MMP-2/MMP-13
Q13882,Protein-tyrosine kinase 6
Q15842,ATP-sensitive inward rectifier potassium channel 8
Q15842,Sulfonylurea receptors; K-ATP channels
Q8NER1,Transient receptor potential cation channel subfamily V member 1
P03956,Interstitial collagenase
P03956,Collagenase
P03956,Matrix metalloproteinase (1 and 13)
P03956,MMP-1/MMP-2
Q16832,Discoidin domain-containing receptor 2
P15056,Serine/threonine-protein kinase B-raf
P15056,RAF serine/threonine protein kinase
P15056,B-raf/RAF proto-oncogene serine/threonine-protein kinase
P15056,BRAF/CRAF
P15056,Protein cereblon/BRAF
P15056,von Hippel-Lindau disease tumor suppressor/BRAF
O39930,RNA-directed RNA polymerase
Q9Y5Y9,Sodium channel protein type 10 subunit alpha
Q9Y5Y9,Sodium channel alpha subunit
O95838,Glucagon-like peptide 2 receptor
P51788,Chloride channel protein 2
P06401,Progesterone receptor
