chembl_id,uniprot,mechanism,action_type
CHEMBL1724,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1578,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1092,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1200828,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1201035,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1626570,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1201067,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1200479,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1200771,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL2146146,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1761,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL517712,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1529,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL569713,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1200426,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1200970,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1200950,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1354199,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1200383,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1201027,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1200891,P11229,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST
CHEMBL1201740,P00519,Tyrosine-protein kinase ABL inhibitor,INHIBITOR
CHEMBL1421,P00519,Tyrosine-protein kinase ABL inhibitor,INHIBITOR
CHEMBL288441,P00519,Tyrosine-protein kinase ABL inhibitor,INHIBITOR
CHEMBL1946170,P00519,Tyrosine-protein kinase ABL inhibitor,INHIBITOR
CHEMBL1642,P00519,Tyrosine-protein kinase ABL inhibitor,INHIBITOR
CHEMBL1201832,P40238,Thrombopoietin receptor agonist,AGONIST
CHEMBL3989691,P40238,Thrombopoietin receptor agonist,AGONIST
CHEMBL98,Q9UBN7,Histone deacetylase 6 inhibitor,INHIBITOR
CHEMBL24,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1200837,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1200813,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1201115,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1200745,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1472989,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1201177,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL500,P08588,Beta-1 adrenergic receptor partial agonist,PARTIAL AGONIST
CHEMBL1200947,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1200418,P08588,Beta-1 adrenergic receptor agonist,AGONIST
CHEMBL1557,P08588,Beta-1 adrenergic receptor agonist,AGONIST
CHEMBL521606,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1671,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL2361370,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1700,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL3989566,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1691,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1200870,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL2356097,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL2062335,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1201731,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1201063,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL499,P08588,Beta-1 adrenergic receptor antagonist,ANTAGONIST
CHEMBL1201461,Q99720,Sigma opioid receptor agonist,AGONIST
CHEMBL3989509,Q99720,Sigma opioid receptor modulator,MODULATOR
CHEMBL3989510,Q99720,Sigma opioid receptor modulator,MODULATOR
CHEMBL1256818,Q99720,Sigma opioid receptor agonist,AGONIST
CHEMBL1046,P00750,Tissue-type plasminogen activator inhibitor,INHIBITOR
CHEMBL1072,Q13621,Sodium-(potassium)-chloride cotransporter 2 inhibitor,INHIBITOR
CHEMBL456,Q13621,Sodium-(potassium)-chloride cotransporter 2 inhibitor,INHIBITOR
CHEMBL1148,Q13621,Sodium-(potassium)-chloride cotransporter 2 inhibitor,INHIBITOR
CHEMBL35,Q13621,Sodium-(potassium)-chloride cotransporter 2 inhibitor,INHIBITOR
CHEMBL1200487,Q13621,Sodium-(potassium)-chloride cotransporter 2 inhibitor,INHIBITOR
CHEMBL406,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL878,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL61593,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL1201039,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL842,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL1200616,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL1532,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL1577,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL435,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL1684,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL1763,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL1054,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL1055,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL1587,P55017,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR
CHEMBL3140361,P9WNL9,Arabinosyltransferase A inhibitor,INHIBITOR
CHEMBL1200776,P41180,Calcium sensing receptor positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR
