doid,disease_name,community,embedding
DOID:3312,bipolar disorder,21020,"[-0.10220290720462799, -0.1801651269197464, -0.054885175079107285, 0.20227056741714478, 0.012289117090404034, 0.0851593166589737, 0.27764928340911865, 0.08501635491847992, -0.1440732777118683, 0.056967273354530334, 0.30159059166908264, -0.2057492583990097, -0.31411096453666687, -0.020048057660460472, -0.05991215258836746, 0.001858660951256752, 0.28321191668510437, -0.06672604382038116, -0.048190727829933167, 0.30372607707977295, 0.126292422413826, -0.12991443276405334, -0.13460160791873932, 0.14904195070266724, 0.0001221001148223877, 0.14804449677467346, 0.10354211926460266, 0.1580757200717926, 0.18377970159053802, -0.058931782841682434, 0.11665068566799164, -0.023787476122379303, -0.085080087184906, 0.29271018505096436, 0.15281760692596436, 0.22411170601844788, 0.21411429345607758, 0.31096717715263367, -0.2014908641576767, 0.10939779132604599, -0.06319178640842438, 0.08137509971857071, -0.11531426757574081, -0.005960121750831604, 0.22703641653060913, 0.10284005850553513, -0.3494357764720917, 0.26076531410217285, 0.0688907727599144, 0.5294572114944458, 0.05633076652884483, 0.17884890735149384, -0.10650381445884705, 0.08987847715616226, 0.3904457688331604, -0.060073401778936386, -0.042279716581106186, 0.008440978825092316, -0.16925832629203796, -0.006198059767484665, 0.4151115417480469, -0.01891322061419487, 0.12459400296211243, -0.046869002282619476]"
DOID:418,systemic scleroderma,21074,"[-0.4521302580833435, -0.0933375209569931, 0.34618955850601196, -0.09788346290588379, -0.14109307527542114, 0.0063402168452739716, 0.1334233582019806, -0.0501546636223793, 0.08113842457532883, -0.040514372289180756, 0.22821681201457977, 0.15999151766300201, 0.08743409812450409, -0.001335255103185773, 0.06748384237289429, -0.05340832471847534, 0.10914184153079987, 0.25191715359687805, -0.27973711490631104, 0.28510770201683044, -0.18507596850395203, -0.5273205041885376, -0.1297599822282791, 0.17734862864017487, 0.06700458377599716, 0.13953420519828796, -0.017219141125679016, 0.10523760318756104, 0.012671351432800293, 0.027744824066758156, -0.033920422196388245, 0.028660401701927185, 0.4423733651638031, 0.3121270537376404, -0.05645453557372093, -0.05177967995405197, -0.12998346984386444, 0.017157401889562607, -0.1387009620666504, -0.07052328437566757, 0.06510007381439209, -0.24430112540721893, 0.1255764216184616, -0.21854019165039062, -0.24413108825683594, -0.03265102580189705, 0.15129177272319794, 0.10416748374700546, -0.0809931606054306, -0.016156364232301712, 0.2398352473974228, -0.00634424015879631, 0.11613959819078445, -0.28824126720428467, -0.035806477069854736, -0.09619391709566116, 0.0775502473115921, 0.32713592052459717, 0.004690894857048988, 0.3040810823440552, -0.12567852437496185, -0.20216965675354004, 0.14954158663749695, -0.2280142456293106]"
DOID:2377,multiple sclerosis,21074,"[-0.18395251035690308, -0.23740971088409424, 0.040519118309020996, -0.21297655999660492, -0.1691094934940338, -0.26173895597457886, 0.16935577988624573, -0.10586198419332504, 0.0002791155129671097, 0.07152169197797775, -0.10625892132520676, 0.15707159042358398, -0.2037326693534851, -0.0801980271935463, -0.07973011583089828, 0.2492324560880661, 0.2931336462497711, -0.24627383053302765, -0.2127998173236847, 0.23956085741519928, 0.007402867078781128, -0.39445242285728455, -0.28978589177131653, 0.06676258146762848, 0.11952836066484451, 0.1006409078836441, -0.2985718250274658, 0.12780843675136566, 0.03764110058546066, -0.1765076220035553, -0.15237334370613098, 0.10815612971782684, 0.032958194613456726, -0.09651735424995422, -0.046024635434150696, -0.24581867456436157, 0.06149333715438843, -0.2601557970046997, -0.12404749542474747, -0.3084849715232849, -0.2681101858615875, -0.40944725275039673, 0.02060384303331375, 0.1431988775730133, -0.031051144003868103, 0.09971393644809723, -0.5022708177566528, 0.1286209672689438, -0.1596912443637848, -0.0398012176156044, 0.11504043638706207, 0.16403570771217346, 0.054842330515384674, -0.04373429715633392, 0.06939741224050522, -0.224366694688797, 0.11040319502353668, -0.07715584337711334, -0.09423265606164932, 0.19149258732795715, 0.13853931427001953, -0.07500823587179184, 0.12140684574842453, -0.20043574273586273]"
DOID:4606,bile duct cancer,20994,"[-0.23349666595458984, -0.1831342726945877, 0.10852473974227905, -0.13552598655223846, -0.2671729624271393, -0.00006403028964996338, 0.07940830290317535, -0.0161278173327446, 0.16545796394348145, 0.008772924542427063, 0.0883573442697525, -0.18028812110424042, 0.24919116497039795, -0.06926678121089935, -0.16801753640174866, -0.02646380290389061, 0.3575781285762787, 0.113382488489151, 0.1109679639339447, -0.0980144590139389, 0.13552427291870117, -0.0032272785902023315, 0.00611337274312973, -0.13367775082588196, 0.019123464822769165, 0.15287381410598755, 0.02588602900505066, -0.07930132746696472, -0.08416063338518143, 0.11384625732898712, -0.07222405821084976, -0.21554389595985413, -0.0037545859813690186, 0.20139022171497345, 0.11687900125980377, 0.07222580164670944, -0.11172253638505936, 0.1592298001050949, 0.09116420894861221, 0.24469289183616638, 0.013753483071923256, -0.21254554390907288, 0.11301703751087189, 0.07920454442501068, -0.12091454118490219, -0.09042051434516907, 0.20393666625022888, 0.15735608339309692, -0.24544782936573029, 0.01772388070821762, 0.11627550423145294, -0.2005050778388977, -0.10976797342300415, 0.15606650710105896, 0.2666165828704834, 0.05606413632631302, 0.2003297358751297, 0.13894261419773102, 0.08377955853939056, -0.15235035121440887, 0.1451311707496643, 0.14800627529621124, -0.15580713748931885, -0.057152457535266876]"
DOID:12995,conduct disorder,21020,"[-0.17909856140613556, -0.09830663353204727, -0.14028717577457428, -0.08891956508159637, 0.22794614732265472, -0.1682814657688141, -0.010930966585874557, 0.19165004789829254, 0.13621002435684204, 0.16648828983306885, 0.19426365196704865, 0.01003602147102356, -0.17032095789909363, -0.18309268355369568, -0.30295825004577637, 0.04501925781369209, 0.09550599753856659, -0.13026279211044312, 0.10672803968191147, 0.30010515451431274, 0.17452499270439148, -0.20986206829547882, -0.22310754656791687, 0.2572576105594635, -0.05294041335582733, -0.04483196884393692, -0.2783866226673126, 0.2926621735095978, 0.07010769844055176, -0.2982329726219177, -0.05203990638256073, 0.05937529727816582, -0.09385823458433151, -0.08083362877368927, -0.1943753957748413, -0.13634240627288818, -0.06722280383110046, 0.20818732678890228, 0.07525622099637985, -0.15279468894004822, 0.06961018592119217, 0.19119077920913696, 0.09525895118713379, 0.291692316532135, 0.06458321213722229, 0.08079896867275238, 0.09506180882453918, 0.045621149241924286, -0.06599027663469315, 0.23167021572589874, 0.17167280614376068, 0.057558126747608185, -0.14681445062160492, -0.08079003542661667, 0.10461881756782532, 0.29323631525039673, -0.1175185814499855, 0.34286728501319885, 0.0495903342962265, 0.03985798358917236, 0.26945680379867554, 0.2888980805873871, -0.05374351888895035, -0.056569904088974]"
DOID:4481,allergic rhinitis,21074,"[-0.15966087579727173, -0.11910019814968109, 0.5733373165130615, -0.14256562292575836, -0.02078428864479065, -0.28823986649513245, -0.23837947845458984, -0.37912485003471375, -0.4484758973121643, 0.003619253635406494, -0.15361319482326508, 0.04918588697910309, -0.028967037796974182, 0.007237479090690613, 0.013818658888339996, -0.3204103410243988, -0.008167624473571777, -0.3652641177177429, -0.23894338309764862, -0.19250033795833588, -0.12830670177936554, -0.10306844115257263, -0.3473994731903076, 0.10033735632896423, -0.0023851986043155193, 0.012459896504878998, -0.15992586314678192, -0.04418700933456421, 0.003773435950279236, 0.17200954258441925, -0.2252570241689682, 0.012296735309064388, -0.11210118234157562, -0.07669065147638321, 0.0780884400010109, -0.09200906753540039, -0.01023341715335846, 0.018812930211424828, 0.12988847494125366, 0.005757089704275131, 0.1758747100830078, -0.3208932876586914, -0.13617675006389618, 0.14806047081947327, 0.07824227213859558, -0.02548801526427269, -0.3982228934764862, -0.03127945214509964, -0.06883125007152557, 0.06707686185836792, -0.022491902112960815, -0.014026202261447906, -0.07974836975336075, -0.1992068886756897, -0.13798797130584717, -0.07300770282745361, -0.12473279982805252, 0.26448363065719604, 0.09058469533920288, 0.2632085382938385, 0.0812036469578743, -0.08587910234928131, -0.06631539762020111, 0.13819186389446259]"
DOID:11819,ureter cancer,20962,"[0.07798181474208832, -0.12142661958932877, 0.14833304286003113, 0.11912541836500168, 0.2115340232849121, 0.1399247944355011, -0.14328809082508087, 0.13815462589263916, -0.1473594605922699, 0.4862501621246338, -0.21976526081562042, 0.12337379902601242, 0.010620955377817154, 0.21480883657932281, -0.1250554472208023, -0.352078378200531, -0.14373062551021576, -0.027867421507835388, 0.13691551983356476, 0.05859857797622681, 0.242941752076149, 0.01115200575441122, 0.14886409044265747, -0.3460598289966583, 0.1493951380252838, -0.01504635252058506, 0.0641556829214096, 0.12408186495304108, 0.007080637849867344, -0.002478223294019699, 0.059306636452674866, -0.48678117990493774, -0.10160084068775177, -0.13018891215324402, -0.1306314468383789, 0.23109428584575653, -0.35650375485420227, 0.2231285572052002, -0.16231730580329895, 0.20418787002563477, -0.01292216032743454, 0.01752457581460476, 0.12833024561405182, 0.22666889429092407, 0.11461151391267776, -0.11912541836500168, -0.07594610750675201, 0.01531187817454338, 0.0367308035492897, -0.13319818675518036, -0.018675178289413452, -0.014957844279706478, -0.11177925765514374, -0.14010180532932281, 0.022304005920886993, -0.0034518102183938026, 0.5047482848167419, -0.21498584747314453, 0.12638306617736816, 0.009470351971685886, -0.10345950722694397, 0.01929473504424095, -0.3519013524055481, 0.11753227561712265]"
DOID:1909,melanoma,20962,"[-0.09846806526184082, -0.39760535955429077, 0.4055177569389343, -0.1533624529838562, -0.16922970116138458, -0.057918448001146317, 0.07519705593585968, 0.17493098974227905, -0.2857455313205719, 0.1361345499753952, -0.0711599588394165, -0.20705042779445648, 0.08633333444595337, -0.2049272060394287, -0.07704955339431763, 0.12848475575447083, -0.07198740541934967, -0.051355600357055664, 0.10790277272462845, -0.21445629000663757, 0.2442353367805481, -0.329095721244812, 0.29020240902900696, -0.28548771142959595, -0.04247944802045822, -0.06153939664363861, 0.24568848311901093, 0.22643671929836273, 0.04580377787351608, -0.0966634526848793, -0.1128634512424469, -0.43920469284057617, 0.25618603825569153, -0.002224031835794449, -0.11459964513778687, -0.023999124765396118, -0.05512722209095955, -0.02627471089363098, -0.2667907178401947, 0.1376076191663742, -0.12978458404541016, 0.04342047870159149, 0.1760626882314682, 0.19752237200737, -0.08442024886608124, 0.07635262608528137, -0.11337612569332123, -0.14409297704696655, -0.03636084496974945, -0.12301697582006454, -0.015595465898513794, -0.038684550672769547, 0.136744424700737, -0.18234369158744812, 0.10754461586475372, -0.16153067350387573, 0.35594290494918823, 0.04328307881951332, 0.04039420187473297, 0.030294202268123627, 0.21949604153633118, 0.057913221418857574, -0.028022198006510735, -0.20266398787498474]"
DOID:14268,sclerosing cholangitis,20946,"[-0.14054585993289948, 0.05594296753406525, 0.5012751221656799, 0.19131802022457123, 0.10929683595895767, -0.21134409308433533, 0.3478955030441284, -0.23280452191829681, -0.21689581871032715, -0.07386843860149384, -0.07312468439340591, -0.28876712918281555, 0.1656053513288498, -0.08040796965360641, 0.19023875892162323, 0.04264175891876221, -0.158943772315979, -0.0359065905213356, 0.14444726705551147, -0.12769748270511627, -0.08415695279836655, -0.2433927059173584, 0.1859884113073349, -0.3265147805213928, -0.31401392817497253, 0.0037194490432739258, 0.00682082399725914, 0.14734110236167908, -0.06807443499565125, -0.09295402467250824, 0.1017955094575882, 0.006246909499168396, 0.09641113877296448, -0.4319615364074707, -0.044299058616161346, 0.2856944501399994, 0.1414608508348465, 0.14734883606433868, 0.07159736752510071, -0.14910653233528137, 0.11747495830059052, -0.13452143967151642, 0.028624534606933594, 0.05427926033735275, -0.15548866987228394, 0.01477690041065216, -0.07731716334819794, -0.2488647997379303, -0.24957548081874847, 0.07712094485759735, 0.13415727019309998, -0.1058008149266243, -0.05639902874827385, 0.054680339992046356, 0.08721024543046951, 0.2430362105369568, 0.03702406585216522, 0.07697457075119019, 0.11105816811323166, -0.11343845725059509, -0.048718445003032684, 0.030580982565879822, -0.03023163229227066, -0.21364566683769226]"
DOID:1612,breast cancer,20994,"[-0.022232240065932274, -0.2855796813964844, -0.0472077876329422, -0.15741798281669617, -0.2921474575996399, 0.08387491106987, 0.03892073035240173, -0.07693582773208618, -0.1895071268081665, 0.11860479414463043, 0.14704811573028564, -0.2742083966732025, -0.22192931175231934, -0.1616935431957245, -0.21740402281284332, -0.06760768592357635, 0.04537525773048401, 0.13229496777057648, -0.32345741987228394, -0.06006017327308655, 0.23981943726539612, -0.3132553696632385, 0.299936980009079, -0.21229961514472961, 0.2903674840927124, -0.07846173644065857, -0.14200888574123383, -0.12711122632026672, -0.0262276753783226, -0.0186835378408432, -0.1259535253047943, -0.025330357253551483, 0.12810522317886353, -0.06651876121759415, 0.3015001118183136, 0.16323629021644592, 0.0018403232097625732, 0.3771016001701355, -0.1309027373790741, -0.07078863680362701, 0.008210591971874237, -0.15678977966308594, 0.0597175657749176, 0.1373695433139801, -0.3218539357185364, -0.1254827380180359, -0.12380628287792206, -0.0041268132627010345, -0.058118484914302826, 0.0880301296710968, 0.08129973709583282, 0.17391830682754517, -0.20140406489372253, -0.011647317558526993, 0.425554096698761, -0.19119741022586823, 0.01341298222541809, 0.3243921399116516, -0.0028036022558808327, 0.13997235894203186, 0.130788654088974, -0.13888078927993774, -0.0004214327782392502, 0.0770440548658371]"
DOID:1686,glaucoma,20965,"[0.06846904009580612, 0.17552870512008667, 0.12094035744667053, 0.04695896804332733, -0.10562993586063385, 0.05165433883666992, 0.06393304467201233, 0.260079026222229, -0.10318631678819656, 0.015021853148937225, 0.211904376745224, 0.16708770394325256, -0.07854674756526947, 0.25677019357681274, -0.20453394949436188, 0.08897726237773895, -0.08355556428432465, -0.13207443058490753, -0.06849435716867447, -0.1409837007522583, -0.27368977665901184, -0.016573484987020493, 0.17817462980747223, 0.24434597790241241, 0.008965617045760155, -0.3678031861782074, 0.03958089277148247, 0.18373443186283112, 0.08224692940711975, -0.2051163911819458, 0.011519845575094223, -0.07357338815927505, 0.23934531211853027, 0.39057910442352295, 0.18426068127155304, 0.023290663957595825, 0.09797213971614838, 0.1158415824174881, -0.10090526193380356, -0.07383282482624054, 0.043636806309223175, -0.11424996703863144, -0.12927557528018951, 0.03141707926988602, 0.03843984752893448, 0.2422855645418167, 0.12028811126947403, -0.15983526408672333, -0.05442339554429054, -0.21255262196063995, 0.0722489207983017, 0.36976829171180725, -0.0651262030005455, -0.23575487732887268, -0.013581547886133194, -0.3418111801147461, 0.1555994749069214, 0.20967434346675873, -0.0865221619606018, 0.3158282935619354, -0.01844489946961403, 0.2553550601005554, 0.25196373462677, -0.0981469452381134]"
